Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,PTS,TOV,PF
PHO,EarlBarron,C,-1.174759208,-0.775085867,-1.167810623,-1.087237233,-1.020500686,-1.147729803,-0.810705069,-0.898168357,-0.973453737,-0.753753641,-1.593958103,-1.336201902,-0.742701539,-0.634588634,-0.948265306,0.056878377,-0.962621374,-0.664375084,-0.852018801,-0.776264272,-0.60243389,-1.088902222,-1.075167468,-0.119264823
TOT,WillBarton,SG,0.472096117,-0.813647648,-0.291510972,-0.168093889,-0.142364075,-0.010599895,-0.353366248,-0.211623229,-0.055852459,-0.066387337,0.142877227,-0.129058635,-0.008397064,-0.110909723,0.44707894,-0.570711848,-0.120570198,-0.235767236,-0.233099483,0.388668971,-0.132751899,-0.187359733,-0.044526538,-0.664116749
POR,WillBarton,SG,-0.625807433,-0.813647648,-1.047319421,-0.831919638,-0.806899889,-0.447957552,-0.810705069,-0.726532075,-0.686703337,-0.610552328,-0.402193435,-0.689173111,-0.824290925,-0.830968226,-0.136340257,-0.947265983,-0.902474862,-0.964400578,-0.514426446,-0.310290974,-0.60243389,-0.90108087,-0.688677119,-1.345181657
DEN,WillBarton,SG,-0.704229115,-0.813647648,0.53001995,0.546795379,0.545905161,0.164343167,0.103972574,0.303285616,0.57499842,0.506417916,0.383077858,0.08339858,0.807496796,0.674608643,0.558900953,-0.068639668,0.781627491,0.535726892,0.048227479,1.320615566,0.336930092,0.601489946,0.599624044,0.153161141
BOS,BrandonBass,PF,1.413156303,0.844508919,0.431436239,0.648922418,0.379771208,0.757205769,-0.810705069,-0.840956263,1.033799059,0.878741331,0.521655145,0.373112964,0.644318024,0.543688915,0.46166442,1.061022736,0.420748415,0.664309246,-0.289364876,-0.310290974,0.102089096,0.526361405,-0.173356654,0.016948159
POR,NicolasBatum,SF,0.981837051,1.924238777,1.526810802,0.240414264,0.427238052,-0.253576371,1.17109649,1.447527496,-0.170552618,-0.20958865,0.207546628,0.112370018,-0.08998645,-0.241829451,0.787406805,0.056878377,1.503385642,1.092917095,1.679923861,1.087628917,0.571771087,0.300975783,0.986114393,-0.255477804
MIL,JerrydBayless,PG,1.217102097,-0.659400525,0.299991292,-0.014903331,3.65E-05,-0.000880836,-0.200919974,-0.154411135,0.058847701,0.076813976,0.032015398,-0.09043005,0.236371094,0.020010004,0.913814298,-0.696229893,-0.000277173,-0.278628021,0.667146797,0.388668971,-0.367592895,0.000461619,0.72845416,0.561800085
SAS,AronBaynes,C,0.94262621,-0.158097377,-0.390094683,-0.168093889,-0.474631982,1.359787429,-0.963151343,-1.012592545,0.173547861,-0.066387337,1.029771864,0.923570294,-0.008397064,-0.176369587,0.826301418,0.935504691,0.30045539,0.492866107,-0.739488016,-1.00925092,-0.132751899,-0.224924003,-0.302186771,0.834226049
ATL,KentBazemore,SG,1.138680415,-0.428029842,-0.203881007,-0.525538523,-0.545832248,-0.000880836,-0.0484737,-0.039986947,-0.629353257,-0.610552328,0.078207827,0.25722721,-0.416343994,-0.307289315,-0.462082642,-0.696229893,0.120015852,-0.150045666,-0.458161053,0.155682323,0.102089096,-0.487873896,-0.173356654,0.016948159
WAS,BradleyBeal,SG,0.668150323,1.461497409,1.515857057,1.465938724,1.613909148,0.008838223,1.628435312,1.275891214,1.033799059,1.308345271,-0.226662205,0.170312895,0.644318024,0.543688915,0.427631634,0.056878377,0.240308877,0.192840613,0.723412189,1.320615566,-0.132751899,1.409121759,1.114944509,0.698013067
