Tm,Player,Pos,G,,GS,,MP,,FG,,FGA,,FGPercent,,3P,,3PA,,2P,,2PA,,2PPercent,,eFGPercent,,FT,,FTA,,FTPercent,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS, 
CHI,Cameron Bairstow,PF,18,-1.096337526,1,-0.775085867,3.6,-1.748359142,0.2,-1.393618348,0.8,-1.400235437,0.214,-2.061321353,0,-0.963151343,0,-1.069804639,0.2,-1.202854056,0.8,-1.154717319,0.214,-2.259129081,0.214,-2.485402292,0.2,-0.905880311,0.3,-0.961887953,0.8,0.510282687,0.3,-0.696229893,0.1,-1.443793475,0.4,-1.264426072,0.1,-0.964549585,0.1,-1.242237569,0.1,-0.60243389,0.2,-1.203997585,0.4,-1.753820602,0.6,-1.351852115
GSW,Leandro Barbosa,SG,66,0.785782846,1,-0.775085867,14.9,-0.510585885,2.8,-0.06596685,5.8,-0.213564341,0.474,0.465633997,0.7,0.103972574,1.7,-0.097199041,2.1,-0.113202539,4.2,-0.180948388,0.511,0.484701202,0.53,0.566255887,0.9,-0.334754608,1.1,-0.438209043,0.784,0.43249346,0.3,-0.696229893,1,-0.902474862,1.4,-0.835818224,1.5,-0.176834091,0.6,-0.077304326,0.1,-0.60243389,0.7,-0.559847003,1.3,-0.527903767,7.1,-0.131013327
DAL,J.J. Barea,PG,77,1.217102097,10,-0.428029842,17.7,-0.203881007,2.9,-0.014903331,7,0.071236723,0.42,-0.059195191,0.7,0.103972574,2.2,0.188861429,2.2,-0.055852459,4.8,-0.009106812,0.463,0.041253884,0.47,-0.013172881,1,-0.253165222,1.2,-0.372749179,0.809,0.554039126,0.3,-0.696229893,1.4,-0.661888811,1.7,-0.707235869,3.4,0.892208367,0.4,-0.543277623,0,-0.837274886,0.9,-0.302186771,1.4,-0.391690786,7.5,-0.055884786
NYK,Andrea Bargnani,C,29,-0.665018274,22,0.034711526,27.1,0.825771082,5.7,1.414875205,12.4,1.352841507,0.454,0.271252817,0.5,-0.200919974,1.4,-0.268835323,5.1,1.607299858,11,1.766589474,0.466,0.068969341,0.475,0.035112849,3,1.378622498,3.7,1.263747418,0.813,0.573486433,1.1,0.307914467,3.3,0.480894928,4.4,0.450005322,1.6,-0.120568698,0.1,-1.242237569,0.9,1.276294074,1.4,0.341963811,1.8,0.153161141,14.8,1.315211083
GSW,Harrison Barnes,SF,82,1.413156303,82,2.348418364,28.3,0.95721603,3.9,0.49573186,8,0.308570942,0.482,0.54338647,1.1,0.713757669,2.6,0.417709804,2.8,0.28824802,5.4,0.162734764,0.519,0.558609089,0.548,0.740084517,1.3,-0.008397064,1.8,0.020010004,0.72,0.121336555,1.4,0.684468601,4.1,0.962067029,5.5,0.921473955,1.4,-0.233099483,0.7,0.155682323,0.2,-0.367592895,0.9,-0.302186771,1.8,0.153161141,10.1,0.432450729
LAC,Matt Barnes,SF,76,1.177891256,74,2.039924119,29.9,1.13247596,3.6,0.342541303,8.2,0.356037786,0.444,0.174062226,1.8,1.780881586,4.9,1.733587966,1.9,-0.227902698,3.3,-0.438710752,0.569,1.020533379,0.553,0.788370248,1,-0.253165222,1.3,-0.307289315,0.779,0.408184327,0.7,-0.194157713,3.3,0.480894928,4,0.278562182,1.5,-0.176834091,0.9,0.62165562,0.7,0.806612083,1.1,-0.044526538,3.2,2.060142883,10.1,0.432450729
PHO,Earl Barron,C,16,-1.174759208,1,-0.775085867,8.9,-1.167810623,0.8,-1.087237233,2.4,-1.020500686,0.308,-1.147729803,0.1,-0.810705069,0.3,-0.898168357,0.6,-0.973453737,2.2,-0.753753641,0.286,-1.593958103,0.333,-1.336201902,0.4,-0.742701539,0.8,-0.634588634,0.5,-0.948265306,0.9,0.056878377,0.9,-0.962621374,1.8,-0.664375084,0.3,-0.852018801,0.3,-0.776264272,0.1,-0.60243389,0.3,-1.075167468,1.6,-0.119264823,2,-1.088902222
TOT,Will Barton,SG,58,0.472096117,0,-0.813647648,16.9,-0.291510972,2.6,-0.168093889,6.1,-0.142364075,0.425,-0.010599895,0.4,-0.353366248,1.5,-0.211623229,2.2,-0.055852459,4.6,-0.066387337,0.474,0.142877227,0.458,-0.129058635,1.3,-0.008397064,1.6,-0.110909723,0.787,0.44707894,0.4,-0.570711848,2.3,-0.120570198,2.8,-0.235767236,1.4,-0.233099483,0.8,0.388668971,0.3,-0.132751899,1.1,-0.044526538,1.2,-0.664116749,6.8,-0.187359733
POR,Will Barton,SG,30,-0.625807433,0,-0.813647648,10,-1.047319421,1.3,-0.831919638,3.3,-0.806899889,0.38,-0.447957552,0.1,-0.810705069,0.6,-0.726532075,1.1,-0.686703337,2.7,-0.610552328,0.415,-0.402193435,0.4,-0.689173111,0.3,-0.824290925,0.5,-0.830968226,0.667,-0.136340257,0.1,-0.947265983,1,-0.902474862,1.1,-0.964400578,0.9,-0.514426446,0.5,-0.310290974,0.1,-0.60243389,0.6,-0.688677119,0.7,-1.345181657,3,-0.90108087
DEN,Will Barton,SG,28,-0.704229115,0,-0.813647648,24.4,0.53001995,4,0.546795379,9,0.545905161,0.443,0.164343167,0.7,0.103972574,2.4,0.303285616,3.3,0.57499842,6.6,0.506417916,0.5,0.383077858,0.48,0.08339858,2.3,0.807496796,2.8,0.674608643,0.81,0.558900953,0.8,-0.068639668,3.8,0.781627491,4.6,0.535726892,1.9,0.048227479,1.2,1.320615566,0.5,0.336930092,1.6,0.599624044,1.8,0.153161141,11,0.601489946
BOS,Brandon Bass,PF,82,1.413156303,43,0.844508919,23.5,0.431436239,4.2,0.648922418,8.3,0.379771208,0.504,0.757205769,0.1,-0.810705069,0.4,-0.840956263,4.1,1.033799059,7.9,0.878741331,0.515,0.521655145,0.51,0.373112964,2.1,0.644318024,2.6,0.543688915,0.79,0.46166442,1.7,1.061022736,3.2,0.420748415,4.9,0.664309246,1.3,-0.289364876,0.5,-0.310290974,0.4,0.102089096,1,-0.173356654,1.7,0.016948159,10.6,0.526361405
POR,Nicolas Batum,SF,71,0.981837051,71,1.924238777,33.5,1.526810802,3.4,0.240414264,8.5,0.427238052,0.4,-0.253576371,1.4,1.17109649,4.4,1.447527496,2,-0.170552618,4.1,-0.20958865,0.481,0.207546628,0.483,0.112370018,1.2,-0.08998645,1.4,-0.241829451,0.857,0.787406805,0.9,0.056878377,5,1.503385642,5.9,1.092917095,4.8,1.679923861,1.1,1.087628917,0.6,0.571771087,1.9,0.986114393,1.5,-0.255477804,9.4,0.300975783
MIL,Jerryd Bayless,PG,77,1.217102097,4,-0.659400525,22.3,0.299991292,2.9,-0.014903331,6.7,3.64569E-05,0.426,-0.000880836,0.5,-0.200919974,1.6,-0.154411135,2.4,0.058847701,5.1,0.076813976,0.462,0.032015398,0.462,-0.09043005,1.6,0.236371094,1.8,0.020010004,0.883,0.913814298,0.3,-0.696229893,2.5,-0.000277173,2.7,-0.278628021,3,0.667146797,0.8,0.388668971,0.2,-0.367592895,1.7,0.72845416,2.1,0.561800085,7.8,0.000461619
SAS,Aron Baynes,C,70,0.94262621,17,-0.158097377,16,-0.390094683,2.6,-0.168093889,4.7,-0.474631982,0.566,1.359787429,0,-0.963151343,0.1,-1.012592545,2.6,0.173547861,4.6,-0.066387337,0.57,1.029771864,0.567,0.923570294,1.3,-0.008397064,1.5,-0.176369587,0.865,0.826301418,1.6,0.935504691,3,0.30045539,4.5,0.492866107,0.5,-0.739488016,0.2,-1.00925092,0.3,-0.132751899,0.9,-0.302186771,2.3,0.834226049,6.6,-0.224924003
ATL,Kent Bazemore,SG,75,1.138680415,10,-0.428029842,17.7,-0.203881007,1.9,-0.525538523,4.4,-0.545832248,0.426,-0.000880836,0.6,-0.0484737,1.8,-0.039986947,1.2,-0.629353257,2.7,-0.610552328,0.467,0.078207827,0.498,0.25722721,0.8,-0.416343994,1.3,-0.307289315,0.6,-0.462082642,0.3,-0.696229893,2.7,0.120015852,3,-0.150045666,1,-0.458161053,0.7,0.155682323,0.4,0.102089096,1,-0.173356654,1.7,0.016948159,5.2,-0.487873896
WAS,Bradley Beal,SG,63,0.668150323,59,1.461497409,33.4,1.515857057,5.8,1.465938724,13.5,1.613909148,0.427,0.008838223,1.7,1.628435312,4.1,1.275891214,4.1,1.033799059,9.4,1.308345271,0.434,-0.226662205,0.489,0.170312895,2.1,0.644318024,2.6,0.543688915,0.783,0.427631634,0.9,0.056878377,2.9,0.240308877,3.8,0.192840613,3.1,0.723412189,1.2,1.320615566,0.3,-0.132751899,2,1.114944509,2.2,0.698013067,15.3,1.409121759
MIA,Michael Beasley,SF,24,-0.861072479,1,-0.775085867,21,0.157592598,3.8,0.444668341,8.8,0.498438317,0.434,0.076871636,0.3,-0.505812521,1.4,-0.268835323,3.5,0.68969858,7.4,0.735540018,0.472,0.124400256,0.453,-0.177344366,0.8,-0.416343994,1.1,-0.438209043,0.769,0.359566061,0.5,-0.445193803,3.2,0.420748415,3.7,0.149979828,1.3,-0.289364876,0.6,-0.077304326,0.5,0.336930092,1.5,0.470793927,2.8,1.515290956,8.8,0.188282971
SAS,Marco Belinelli,SG,62,0.628939481,9,-0.466591622,22.4,0.310945037,3.2,0.138287226,7.6,0.213637254,0.423,-0.030038013,1.4,1.17109649,3.7,1.047042838,1.8,-0.285252778,3.9,-0.266869176,0.471,0.11516177,0.515,0.421398695,1.4,0.073192322,1.6,-0.110909723,0.848,0.743650365,0.4,-0.570711848,2.1,-0.240863223,2.5,-0.36434959,1.5,-0.176834091,0.5,-0.310290974,0,-0.837274886,1,-0.173356654,1.4,-0.391690786,9.2,0.263411512
UTA,Jerrelle Benimon,PF,2,-1.723710983,0,-0.813647648,1.5,-1.9783878,0,-1.495745386,0,-1.590102813,0,-4.141199987,0,-0.963151343,0,-1.069804639,0,-1.317554216,0,-1.38383942,0,-4.236165043,0,-4.552031565,0,-1.069059083,0,-1.158267545,0,-3.379178627,0.5,-0.445193803,1,-0.902474862,1.5,-0.792957439,0,-1.020814978,0,-1.475224218,0,-0.837274886,0.5,-0.817507236,0,-2.298672528,0,-1.464544926
