Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,LouAmundson,PF,12,0,6.6,0.3,1,0.333,0,0,0.3,1,0.333,0.333,0.3,0.4,0.6,0.4,1.3,1.7,0.4,0.1,0,0.4,0.9,0.9
NYK,LouAmundson,PF,41,35,20.9,2.6,5.9,0.432,0,0,2.6,5.9,0.434,0.432,0.9,2,0.463,2.2,3.9,6,1.6,0.5,1.3,1.4,2.8,6
MIA,ChrisAndersen,C,60,20,18.9,2,3.5,0.58,0.1,0.2,1.9,3.2,0.598,0.589,1.3,1.9,0.667,1.3,3.7,5,0.7,0.4,1,0.7,1.5,5.3
BRK,AlanAnderson,SG,74,19,23.6,2.6,5.9,0.443,1,2.8,1.6,3.1,0.53,0.526,1.1,1.4,0.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2,7.4
SAS,KyleAnderson,SF,33,8,10.8,0.9,2.7,0.348,0.1,0.3,0.8,2.4,0.359,0.365,0.3,0.4,0.643,0.2,2,2.2,0.8,0.5,0.2,0.3,0.8,2.2
NOP,RyanAnderson,PF,61,5,27.5,4.8,12,0.399,2,5.9,2.8,6.1,0.457,0.483,2.1,2.5,0.854,1.8,3.1,4.8,0.9,0.5,0.3,1,1.9,13.7
MIL,GiannisAntetokounmpo,SG,81,71,31.4,4.7,9.6,0.491,0.1,0.5,4.6,9.1,0.511,0.496,3.2,4.3,0.741,1.2,5.5,6.7,2.6,0.9,1,2.1,3.1,12.7
NYK,CarmeloAnthony,SF,40,40,35.7,9,20.2,0.444,1.5,4.5,7.4,15.7,0.474,0.482,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1,0.4,2.2,2.2,24.2
DET,JoelAnthony,C,49,0,8.3,0.7,1.3,0.581,0,0,0.7,1.3,0.581,0.581,0.3,0.4,0.682,0.7,1.2,1.9,0.1,0.2,1,0.2,1.1,1.8
ATL,PeroAntic,PF,63,3,16.5,1.7,4.7,0.365,0.8,2.7,0.9,2,0.455,0.453,1.4,2,0.715,0.9,2.1,3,0.8,0.3,0.2,0.8,2.1,5.7
HOU,TrevorAriza,SF,82,82,35.7,4.5,11.1,0.402,2.4,6.8,2.1,4.3,0.485,0.509,1.5,1.7,0.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8
DEN,DarrellArthur,PF,58,4,17,2.7,6.6,0.404,0.4,1.9,2.2,4.7,0.471,0.438,0.8,1,0.78,0.9,2,2.9,1,0.8,0.4,0.8,2.5,6.6
NOP,OmerAsik,C,76,76,26.1,2.8,5.4,0.517,0,0,2.8,5.4,0.517,0.517,1.7,3,0.582,3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,7.3
TOT,D.J.Augustin,PG,82,14,24,3.1,7.9,0.399,1,3,2.1,4.9,0.436,0.463,2.2,2.5,0.868,0.2,1.7,2,4.3,0.6,0,1.8,1.1,9.5
DET,D.J.Augustin,PG,54,13,23.8,3.5,8.5,0.41,0.9,2.8,2.6,5.8,0.45,0.463,2.7,3.1,0.87,0.2,1.6,1.9,4.9,0.6,0,2,1.1,10.6
OKC,D.J.Augustin,PG,28,1,24.2,2.5,6.6,0.371,1.2,3.4,1.3,3.2,0.389,0.462,1.1,1.3,0.861,0.3,1.9,2.2,3.1,0.6,0,1.3,1.1,7.3
