Rank,Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,!Rank,!Newsweek Green Score,!GICS Sector,!Energy Productivity,!Carbon Productivity,!Water Productivity,!Waste Productivity,!Green Revenue
89,0.55,Financials,0.07,0.1,0.06,0.08,0.1,,,,,,,,
262,0.31,Financials,0.02,0.04,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
458,0.1,Financials,0,0,0,0,0.1,,,,,,,,
78,0.57,Financials,0.12,0.1,0.11,0.11,0.13,,,,,,,,
92,0.55,Financials,0.07,0.07,0.06,0.05,0.1,,,,,,,,
412,0.12,Financials,0,0,0,0,0.12,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
9,0.75,Financials,0.09,0.09,0.09,0.12,0.16,,,,,,,,
13,0.75,Financials,0.09,0.12,0.09,0.09,0.16,,,,,,,,
81,0.57,Financials,0.01,0.03,0.05,0.12,0.16,,,,,,,,
109,0.53,Financials,0.06,0.06,0.05,0.08,0.14,,,,,,,,
141,0.48,Financials,0.03,0.05,0.02,0.03,0.16,,,,,,,,
145,0.47,Financials,0.02,0.03,0.03,0.08,0.16,,,,,,,,
148,0.46,Financials,0.02,0.03,0.01,0.04,0.16,,,,,,,,
179,0.41,Financials,0,0.1,0,0,0.16,,,,,,,,
221,0.37,Financials,0.03,0.07,0,0,0.16,,,,,,,,
227,0.36,Financials,0,0.02,0,0,0.14,,,,,,,,
247,0.33,Financials,0,0.02,0,0,0.16,,,,,,,,
275,0.29,Financials,0,0,0,0,0.14,,,,,,,,
289,0.28,Financials,0,0.02,0,0,0.16,,,,,,,,
321,0.22,Financials,0,0,0,0,0.12,,,,,,,,
364,0.16,Financials,0,0,0,0,0.16,,,,,,,,
379,0.16,Financials,0,0,0,0,0.16,,,,,,,,
462,0.1,Financials,0,0,0,0,0.1,,,,,,,,
19,0.71,Financials,0.13,0.14,0.04,0.07,0.14,,,,,,,,
51,0.62,Financials,0.06,0.04,0.09,0.09,0.15,,,,,,,,
138,0.49,Financials,0.12,0.08,0.01,0,0.13,,,,,,,,
152,0.45,Financials,0.01,0.03,0.03,0.05,0.14,,,,,,,,
155,0.44,Financials,0,0.09,0,0,0.15,,,,,,,,
165,0.43,Financials,0.03,0.07,0,0,0.13,,,,,,,,
177,0.41,Financials,0.09,0.05,0.02,0,0.14,,,,,,,,
186,0.4,Financials,0,0.06,0,0,0.15,,,,,,,,
199,0.39,Financials,0,0.05,0,0,0.14,,,,,,,,
208,0.38,Financials,0.03,0.02,0.04,0.1,0.14,,,,,,,,
317,0.23,Financials,0.02,0.01,0,0.02,0.13,,,,,,,,
324,0.21,Financials,0.02,0.03,0,0.03,0.13,,,,,,,,
340,0.19,Financials,0,0,0,0,0.14,,,,,,,,
340,0.19,Financials,0,0,0,0,0.14,,,,,,,,
352,0.18,Financials,0,0,0,0,0.13,,,,,,,,
382,0.16,Financials,0,0.02,0,0,0.14,,,,,,,,
383,0.15,Financials,0,0,0,0,0.15,,,,,,,,
383,0.15,Financials,0,0,0,0,0.15,,,,,,,,
